nome,siglaPartido,siglaUf,urlFoto
JEAN WYLLYS,PSOL,RJ,http://www.camara.leg.br/internet/deputado/bandep/160672.jpg
JEFFERSON CAMPOS,PSB,SP,http://www.camara.leg.br/internet/deputado/bandep/74273.jpg
JERÔNIMO GOERGEN,PP,RS,http://www.camara.leg.br/internet/deputado/bandep/160570.jpg
JÉSSICA SALES,MDB,AC,http://www.camara.leg.br/internet/deputado/bandep/178839.jpg
JHC,PSB,AL,http://www.camara.leg.br/internet/deputado/bandep/178842.jpg
JHONATAN DE JESUS,PRB,RR,http://www.camara.leg.br/internet/deputado/bandep/160531.jpg
JÔ MORAES,PCdoB,MG,http://www.camara.leg.br/internet/deputado/bandep/141503.jpg
JOÃO ARRUDA,MDB,PR,http://www.camara.leg.br/internet/deputado/bandep/160573.jpg
JOÃO CAMPOS,PRB,GO,http://www.camara.leg.br/internet/deputado/bandep/74366.jpg
JOÃO CARLOS BACELAR,PR,BA,http://www.camara.leg.br/internet/deputado/bandep/141458.jpg
JOÃO DANIEL,PT,SE,http://www.camara.leg.br/internet/deputado/bandep/178970.jpg
JOÃO DERLY,REDE,RS,http://www.camara.leg.br/internet/deputado/bandep/178965.jpg
JOÃO FERNANDO COUTINHO,PROS,PE,http://www.camara.leg.br/internet/deputado/bandep/178917.jpg
JOÃO GUALBERTO,PSDB,BA,http://www.camara.leg.br/internet/deputado/bandep/178856.jpg
JOÃO MARCELO SOUZA,MDB,MA,http://www.camara.leg.br/internet/deputado/bandep/112437.jpg
JOÃO PAULO KLEINÜBING,DEM,SC,http://www.camara.leg.br/internet/deputado/bandep/178967.jpg
JOÃO PAULO PAPA,PSDB,SP,http://www.camara.leg.br/internet/deputado/bandep/178988.jpg
JOÃO RODRIGUES,PSD,SC,http://www.camara.leg.br/internet/deputado/bandep/160571.jpg
JOAQUIM PASSARINHO,PSD,PA,http://www.camara.leg.br/internet/deputado/bandep/178910.jpg
JONY MARCOS,PRB,SE,http://www.camara.leg.br/internet/deputado/bandep/178971.jpg
JORGE CÔRTE REAL,PTB,PE,http://www.camara.leg.br/internet/deputado/bandep/160572.jpg
JORGE SOLLA,PT,BA,http://www.camara.leg.br/internet/deputado/bandep/178857.jpg
JORGE TADEU MUDALEN,DEM,SP,http://www.camara.leg.br/internet/deputado/bandep/73535.jpg
JORGINHO MELLO,PR,SC,http://www.camara.leg.br/internet/deputado/bandep/160509.jpg
JOSÉ AIRTON CIRILO,PT,CE,http://www.camara.leg.br/internet/deputado/bandep/141464.jpg
JOSÉ CARLOS ALELUIA,DEM,BA,http://www.camara.leg.br/internet/deputado/bandep/74553.jpg
JOSÉ CARLOS ARAÚJO,PR,BA,http://www.camara.leg.br/internet/deputado/bandep/74140.jpg
JOSÉ GUIMARÃES,PT,CE,http://www.camara.leg.br/internet/deputado/bandep/141470.jpg
JOSÉ MENTOR,PT,SP,http://www.camara.leg.br/internet/deputado/bandep/74275.jpg
JOSÉ NUNES,PSD,BA,http://www.camara.leg.br/internet/deputado/bandep/160619.jpg
JOSÉ OTÁVIO GERMANO,PP,RS,http://www.camara.leg.br/internet/deputado/bandep/74395.jpg
JOSÉ PRIANTE,MDB,PA,http://www.camara.leg.br/internet/deputado/bandep/74079.jpg
JOSÉ REINALDO,PSDB,MA,http://www.camara.leg.br/internet/deputado/bandep/73714.jpg
JOSÉ ROCHA,PR,BA,http://www.camara.leg.br/internet/deputado/bandep/74554.jpg
JOSE STÉDILE,PSB,RS,http://www.camara.leg.br/internet/deputado/bandep/160607.jpg
JOSI NUNES,PROS,TO,http://www.camara.leg.br/internet/deputado/bandep/114941.jpg
JOSIAS GOMES,PT,BA,http://www.camara.leg.br/internet/deputado/bandep/74141.jpg
JOSUÉ BENGTSON,PTB,PA,http://www.camara.leg.br/internet/deputado/bandep/74351.jpg
JOVAIR ARANTES,PTB,GO,http://www.camara.leg.br/internet/deputado/bandep/73666.jpg
JOZI ARAÚJO,PODE,AP,http://www.camara.leg.br/internet/deputado/bandep/178851.jpg
JÚLIA MARINHO,PSC,PA,http://www.camara.leg.br/internet/deputado/bandep/67312.jpg
JULIÃO AMIN,PDT,MA,http://www.camara.leg.br/internet/deputado/bandep/141474.jpg
JÚLIO CESAR,PSD,PI,http://www.camara.leg.br/internet/deputado/bandep/74317.jpg
JÚLIO DELGADO,PSB,MG,http://www.camara.leg.br/internet/deputado/bandep/73586.jpg
JULIO LOPES,PP,RJ,http://www.camara.leg.br/internet/deputado/bandep/74253.jpg
JUNIOR MARRECA,PATRI,MA,http://www.camara.leg.br/internet/deputado/bandep/178885.jpg
JUNJI ABE,MDB,SP,http://www.camara.leg.br/internet/deputado/bandep/160544.jpg
JUSCELINO FILHO,DEM,MA,http://www.camara.leg.br/internet/deputado/bandep/178886.jpg
JUTAHY JUNIOR,PSDB,BA,http://www.camara.leg.br/internet/deputado/bandep/74570.jpg
KAIO MANIÇOBA,SD,PE,http://www.camara.leg.br/internet/deputado/bandep/178918.jpg
KEIKO OTA,PSB,SP,http://www.camara.leg.br/internet/deputado/bandep/160659.jpg
LAERCIO OLIVEIRA,PP,SE,http://www.camara.leg.br/internet/deputado/bandep/151208.jpg
LAERTE BESSA,PR,DF,http://www.camara.leg.br/internet/deputado/bandep/141478.jpg
LAUDIVIO CARVALHO,PODE,MG,http://www.camara.leg.br/internet/deputado/bandep/178894.jpg
LAURA CARNEIRO,DEM,RJ,http://www.camara.leg.br/internet/deputado/bandep/74856.jpg
LÁZARO BOTELHO,PP,TO,http://www.camara.leg.br/internet/deputado/bandep/141480.jpg
LEANDRE,PV,PR,http://www.camara.leg.br/internet/deputado/bandep/178832.jpg
LELO COIMBRA,MDB,ES,http://www.camara.leg.br/internet/deputado/bandep/141562.jpg
LEO DE BRITO,PT,AC,http://www.camara.leg.br/internet/deputado/bandep/178825.jpg
LEONARDO MONTEIRO,PT,MG,http://www.camara.leg.br/internet/deputado/bandep/74156.jpg
LEONARDO PICCIANI,MDB,RJ,http://www.camara.leg.br/internet/deputado/bandep/74254.jpg
